gds,gm,id,vdsat,vth,v(g)
4.930549e-12,2.73694e-10,1.04345e-11,0.03803133,0.5871766,0
6.698431e-12,3.732872e-10,1.425046e-11,0.03797349,0.5857308,0.01
9.082398e-12,5.080687e-10,1.94216e-11,0.03791712,0.5843257,0.02
1.230592e-11,6.909542e-10,2.644852e-11,0.03786068,0.5829232,0.03
1.666096e-11,9.388762e-10,3.598853e-11,0.0378042,0.5815239,0.04
2.25396e-11,1.274633e-09,4.892836e-11,0.03774771,0.5801282,0.05
3.046767e-11,1.728878e-09,6.646259e-11,0.03769123,0.5787368,0.06
4.114952e-11,2.342764e-09,9.019849e-11,0.03763479,0.5773503,0.07
5.552738e-11,3.171462e-09,1.222956e-10,0.03757843,0.5759694,0.08
7.486001e-11,4.288815e-09,1.656514e-10,0.03752217,0.5745946,0.09
1.008266e-10,5.793489e-09,2.241474e-10,0.03746608,0.5732269,0.1
1.356635e-10,7.817077e-09,3.029751e-10,0.03741019,0.571867,0.11
1.823446e-10,1.053475e-08,4.090665e-10,0.03735456,0.5705158,0.12
2.448176e-10,1.41792e-08,5.516601e-10,0.03729926,0.5691741,0.13
3.283127e-10,1.905882e-08,7.430458e-10,0.03724437,0.5678429,0.14
4.397459e-10,2.558141e-08,9.995386e-10,0.03718998,0.5665232,0.15
5.882431e-10,3.428472e-08,1.34275e-09,0.03713621,0.5652159,0.16
7.858188e-10,4.587594e-08,1.80124e-09,0.03708318,0.5639222,0.17
1.048252e-09,6.128228e-08,2.41266e-09,0.03703106,0.5626431,0.18
1.396212e-09,8.171536e-08,3.226513e-09,0.03698005,0.5613796,0.19
1.856698e-09,1.087529e-07,4.307698e-09,0.0369304,0.5601331,0.2
2.46487e-09,1.444412e-07,5.741046e-09,0.03688242,0.5589044,0.21
3.26637e-09,1.914235e-07,7.637067e-09,0.03683651,0.5576949,0.22
4.320239e-09,2.53098e-07,1.013923e-08,0.03679315,0.5565055,0.23
5.702555e-09,3.338124e-07,1.343309e-08,0.03675296,0.5553373,0.24
7.510956e-09,4.390982e-07,1.775767e-08,0.03671672,0.5541915,0.25
9.870189e-09,5.759525e-07,2.341948e-08,0.0366854,0.5530688,0.26
1.293888e-08,7.531691e-07,3.080985e-08,0.03666025,0.5519702,0.27
1.691765e-08,9.817234e-07,4.042581e-08,0.0366428,0.5508964,0.28
2.205886e-08,1.275211e-06,5.289534e-08,0.03663501,0.5498481,0.29
2.867793e-08,1.650336e-06,6.900731e-08,0.03663927,0.5488257,0.3
3.716654e-08,2.127445e-06,8.974681e-08,0.03665858,0.5478295,0.31
4.800756e-08,2.731091e-06,1.163362e-07,0.03669661,0.5468595,0.32
6.179152e-08,3.490607e-06,1.502818e-07,0.03675784,0.5459154,0.33
7.923457e-08,4.440669e-06,1.934272e-07,0.0368477,0.5449966,0.34
1.011972e-07,5.621825e-06,2.48012e-07,0.03697273,0.5441022,0.35
1.28703e-07,7.080945e-06,3.167371e-07,0.03714068,0.5432308,0.36
1.629565e-07,8.871573e-06,4.02834e-07,0.03736066,0.5423806,0.37
2.053587e-07,1.105415e-05,5.101407e-07,0.03764328,0.5415492,0.38
2.57519e-07,1.36961e-05,6.431796e-07,0.03800069,0.5407335,0.39
3.212605e-07,1.68717e-05,8.072405e-07,0.03844664,0.53993,0.4
3.986192e-07,2.066187e-05,1.008466e-06,0.03899645,0.5391342,0.41
4.91832e-07,2.515368e-05,1.253937e-06,0.0396669,0.5383411,0.42
6.033152e-07,3.04397e-05,1.551767e-06,0.04047604,0.5375447,0.43
7.356296e-07,3.661709e-05,1.911185e-06,0.04144293,0.5367381,0.44
8.914329e-07,4.378632e-05,2.342631e-06,0.04258721,0.5359138,0.45
1.073419e-06,5.20495e-05,2.857835e-06,0.04392865,0.5350632,0.46
1.284246e-06,6.1508e-05,3.469893e-06,0.04548655,0.5341772,0.47
1.526452e-06,7.225937e-05,4.193319e-06,0.04727907,0.5332458,0.48
1.802366e-06,8.43933e-05,5.044064e-06,0.04932256,0.5322584,0.49
2.11401e-06,9.798663e-05,6.039485e-06,0.05163077,0.5312043,0.5
2.463001e-06,0.0001130974,7.198243e-06,0.05421412,0.5300727,0.51
2.850462e-06,0.000129758,8.540103e-06,0.05707902,0.528853,0.52
3.276923e-06,0.000147969,1.008561e-05,0.06022717,0.5275357,0.53
3.742256e-06,0.0001676916,1.18556e-05,0.06365508,0.5261127,0.54
4.245601e-06,0.0001888435,1.387061e-05,0.06735364,0.5245781,0.55
4.785337e-06,0.0002112952,1.615e-05,0.0713079,0.5229293,0.56
5.359058e-06,0.00023487,1.871103e-05,0.07549716,0.5211677,0.57
5.9636e-06,0.0002593475,2.156773e-05,0.07989518,0.5192998,0.58
6.595094e-06,0.0002844713,2.472978e-05,0.08447084,0.5173381,0.59
7.249074e-06,0.0003099599,2.820146e-05,0.08918906,0.5153015,0.6
7.920631e-06,0.0003355213,3.198085e-05,0.09401212,0.5132156,0.61
8.604637e-06,0.0003608698,3.605961e-05,0.09890143,0.5111115,0.62
9.295911e-06,0.0003857396,4.042276e-05,0.1038188,0.5090256,0.63
9.989629e-06,0.000409904,4.505065e-05,0.1087294,0.5069941,0.64
1.068147e-05,0.0004331828,4.992004e-05,0.1136027,0.5050517,0.65
1.136787e-05,0.0004554486,5.500643e-05,0.1184141,0.5032276,0.66
1.204609e-05,0.0004766262,6.02863e-05,0.1231453,0.5015426,0.67
1.271429e-05,0.0004966876,6.573886e-05,0.1277845,0.5000074,0.68
1.337137e-05,0.0005156422,7.134703e-05,0.1323251,0.4986234,0.69
1.401687e-05,0.0005335264,7.70977e-05,0.1367651,0.4973837,0.7
1.465076e-05,0.0005503936,8.29812e-05,0.1411052,0.4962757,0.71
1.527325e-05,0.0005663056,8.899055e-05,0.145348,0.4952841,0.72
1.588472e-05,0.0005813272,9.512048e-05,0.1494968,0.4943927,0.73
1.648556e-05,0.0005955218,0.0001013667,0.1535555,0.4935863,0.74
1.707619e-05,0.00060895,0.0001077255,0.1575275,0.4928514,0.75
1.765695e-05,0.0006216683,0.0001141931,0.1614163,0.4921765,0.76
1.822802e-05,0.0006337244,0.0001207629,0.1652239,0.4915585,0.77
1.878983e-05,0.0006451705,0.0001274331,0.1689543,0.4909853,0.78
1.934287e-05,0.0006560551,0.0001342027,0.1726112,0.4904452,0.79
1.988728e-05,0.0006664162,0.0001410664,0.1761967,0.4899367,0.8
2.042331e-05,0.0006762905,0.00014802,0.1797132,0.4894569,0.81
2.095119e-05,0.0006857122,0.0001550596,0.1831631,0.4890031,0.82
2.147118e-05,0.0006947123,0.0001621818,0.1865489,0.4885728,0.83
2.198351e-05,0.0007033193,0.0001693829,0.1898728,0.4881643,0.84
2.248842e-05,0.0007115593,0.0001766598,0.1931373,0.4877759,0.85
2.298615e-05,0.000719456,0.0001840093,0.1963446,0.4874061,0.86
2.347695e-05,0.0007270308,0.0001914285,0.1994969,0.4870537,0.87
2.396103e-05,0.0007343035,0.0001989148,0.2025963,0.4867175,0.88
2.443863e-05,0.0007412918,0.0002064655,0.2056449,0.4863965,0.89
2.490997e-05,0.0007480119,0.0002140781,0.2086447,0.4860899,0.9
2.537527e-05,0.0007544785,0.0002217504,0.2115977,0.4857968,0.91
2.583474e-05,0.0007607049,0.0002294801,0.2145058,0.4855165,0.92
2.628858e-05,0.0007667034,0.0002372652,0.2173707,0.4852483,0.93
2.673699e-05,0.0007724849,0.0002451036,0.2201942,0.4849915,0.94
2.718016e-05,0.0007780595,0.0002529934,0.222978,0.4847457,0.95
2.761828e-05,0.0007834366,0.0002609329,0.2257238,0.4845103,0.96
2.805153e-05,0.0007886247,0.0002689203,0.2284329,0.4842848,0.97
2.848007e-05,0.0007936315,0.0002769538,0.2311071,0.4840687,0.98
2.890408e-05,0.0007984642,0.0002850319,0.2337476,0.4838618,0.99
2.932371e-05,0.0008031296,0.0002931531,0.2363559,0.4836635,1
2.973912e-05,0.0008076338,0.0003013157,0.2389332,0.4834736,1.01
3.015046e-05,0.0008119826,0.0003095185,0.2414809,0.4832917,1.02
3.055786e-05,0.0008161814,0.0003177599,0.2440002,0.4831175,1.03
3.096147e-05,0.0008202352,0.0003260386,0.2464923,0.4829508,1.04
3.136142e-05,0.0008241489,0.0003343533,0.2489583,0.4827913,1.05
3.175783e-05,0.0008279269,0.0003427027,0.2513992,0.4826386,1.06
3.215083e-05,0.0008315735,0.0003510856,0.2538161,0.4824927,1.07
3.254053e-05,0.0008350928,0.0003595008,0.2562101,0.4823533,1.08
3.292705e-05,0.0008384885,0.0003679471,0.2585821,0.4822202,1.09
3.33105e-05,0.0008417645,0.0003764234,0.260933,0.4820931,1.1
3.369097e-05,0.0008449241,0.0003849286,0.2632637,0.481972,1.11
3.406858e-05,0.0008479708,0.0003934615,0.2655752,0.4818567,1.12
3.444342e-05,0.0008509079,0.0004020212,0.2678681,0.481747,1.13
3.481558e-05,0.0008537385,0.0004106067,0.2701434,0.4816427,1.14
3.518516e-05,0.0008564655,0.0004192169,0.2724018,0.4815438,1.15
