gds,gm,id,vdsat,vth,v(g)
3.248651e-14,2.067909e-12,6.115542e-14,0.02949517,0.6433218,0
4.854054e-14,3.105499e-12,9.196007e-14,0.02944756,0.6418103,0.01
7.235848e-14,4.652274e-12,1.379401e-13,0.0294009,0.6403335,0.02
1.077858e-13,6.963908e-12,2.067485e-13,0.02935401,0.6388542,0.03
1.604394e-13,1.041558e-11,3.096307e-13,0.0293069,0.6373729,0.04
2.386325e-13,1.556493e-11,4.633265e-13,0.02925959,0.6358896,0.05
3.546567e-13,2.323989e-11,6.927271e-13,0.02921206,0.6344046,0.06
5.266682e-13,3.466836e-11,1.034806e-12,0.02916433,0.632918,0.07
7.814586e-13,5.166933e-11,1.544425e-12,0.0291164,0.6314302,0.08
1.158519e-12,7.693422e-11,2.302893e-12,0.02906829,0.6299415,0.09
1.715998e-12,1.144403e-10,3.430573e-12,0.02901998,0.6284521,0.1
2.539407e-12,1.700572e-10,5.105421e-12,0.02897151,0.6269623,0.11
3.754354e-12,2.524354e-10,7.590197e-12,0.02892287,0.6254726,0.12
5.545095e-12,3.743043e-10,1.127234e-11,0.02887409,0.6239835,0.13
8.181545e-12,5.543665e-10,1.67223e-11,0.02882516,0.6224953,0.14
1.205853e-11,8.200536e-10,2.47787e-11,0.02877613,0.6210086,0.15
1.775266e-11,1.211528e-09,3.667234e-11,0.02872699,0.619524,0.16
2.610468e-11,1.787473e-09,5.420649e-11,0.02867778,0.618042,0.17
3.833819e-11,2.633458e-09,8.001819e-11,0.02862852,0.6165634,0.18
5.623061e-11,3.873956e-09,1.179559e-10,0.02857925,0.6150888,0.19
8.235837e-11,5.689583e-09,1.736241e-10,0.02853,0.613619,0.2
1.204477e-10,8.341684e-09,2.551648e-10,0.02848081,0.6121547,0.21
1.758745e-10,1.220725e-08,3.743767e-10,0.02843175,0.6106969,0.22
2.563734e-10,1.782826e-08,5.483096e-10,0.02838287,0.6092464,0.23
3.730401e-10,2.598086e-08,8.015259e-10,0.02833428,0.607804,0.24
5.417392e-10,3.777193e-08,1.169292e-09,0.02828607,0.6063707,0.25
7.850727e-10,5.477237e-08,1.702056e-09,0.02823841,0.6049475,0.26
1.135111e-09,7.919983e-08,2.471686e-09,0.02819148,0.6035352,0.27
1.637159e-09,1.14166e-07,3.580097e-09,0.02814555,0.6021347,0.28
2.354895e-09,1.640073e-07,5.171089e-09,0.02810098,0.600747,0.29
3.377325e-09,2.347204e-07,7.446404e-09,0.02805827,0.5993728,0.3
4.828091e-09,3.345262e-07,1.068732e-08,0.02801808,0.5980128,0.31
6.877744e-09,4.745836e-07,1.528322e-08,0.02798133,0.5966676,0.32
9.759718e-09,6.698722e-07,2.176904e-08,0.02794926,0.5953376,0.33
1.379073e-08,9.40252e-07,3.087324e-08,0.02792354,0.5940232,0.34
1.939634e-08,1.311688e-06,4.357847e-08,0.02790641,0.5927243,0.35
2.714214e-08,1.817605e-06,6.119642e-08,0.02790085,0.5914407,0.36
3.777097e-08,2.500309e-06,8.54582e-08,0.02791076,0.5901716,0.37
5.224565e-08,3.412368e-06,1.186207e-07,0.02794119,0.5889159,0.38
7.179629e-08,4.617832e-06,1.635881e-07,0.02799861,0.5876719,0.39
9.79703e-08,6.193147e-06,2.240478e-07,0.02809114,0.5864373,0.4
1.326821e-07,8.227683e-06,3.04617e-07,0.02822883,0.5852088,0.41
1.782586e-07,1.08238e-05,4.109985e-07,0.02842386,0.5839822,0.42
2.374772e-07,1.409658e-05,5.501446e-07,0.02869079,0.5827521,0.43
3.135898e-07,1.817328e-05,7.30429e-07,0.02904662,0.581512,0.44
4.103315e-07,2.319292e-05,9.618315e-07,0.02951085,0.5802533,0.45
5.319098e-07,2.930615e-05,1.256146e-06,0.03010538,0.5789661,0.46
6.82972e-07,3.667548e-05,1.627221e-06,0.03085437,0.5776382,0.47
8.685516e-07,4.547594e-05,2.091252e-06,0.03178387,0.576255,0.48
1.093992e-06,5.58955e-05,2.667136e-06,0.03292144,0.5747996,0.49
1.364845e-06,6.813467e-05,3.3769e-06,0.03429561,0.5732518,0.5
1.686747e-06,8.240396e-05,4.246197e-06,0.03593515,0.5715884,0.51
2.065263e-06,9.891817e-05,5.304873e-06,0.03786825,0.5697823,0.52
2.505701e-06,0.0001178862,6.587553e-06,0.04012148,0.5678027,0.53
3.012887e-06,0.0001394958,8.134223e-06,0.04271859,0.5656141,0.54
3.590923e-06,0.0001638928,9.99072e-06,0.04567914,0.5631762,0.55
4.2429e-06,0.0001911571,1.220906e-05,0.04901694,0.5604435,0.56
4.970626e-06,0.0002212759,1.484751e-05,0.05273855,0.5573647,0.57
5.774353e-06,0.0002541209,1.797027e-05,0.05684175,0.5538824,0.58
6.652576e-06,0.0002894324,2.164686e-05,0.06131441,0.5499325,0.59
7.601727e-06,0.0003268097,2.595019e-05,0.0661329,0.545446,0.6
8.616363e-06,0.0003657329,3.095585e-05,0.07126286,0.540345,0.61
9.688942e-06,0.0004055807,3.673865e-05,0.07665811,0.534546,0.62
1.080988e-05,0.000445671,4.336905e-05,0.0822609,0.5279616,0.63
1.196743e-05,0.0004853015,5.090708e-05,0.08800142,0.520505,0.64
1.314732e-05,0.0005237831,5.939159e-05,0.09379615,0.5121045,0.65
1.433147e-05,0.0005604455,6.881645e-05,0.09954264,0.5027411,0.66
1.550467e-05,0.0005948729,7.917718e-05,0.1051499,0.4923245,0.67
1.662761e-05,0.0006261289,9.016154e-05,0.1104257,0.4813784,0.68
1.766227e-05,0.0006535359,0.0001012835,0.1152047,0.4707497,0.69
1.857806e-05,0.0006766989,0.0001118964,0.119391,0.461699,0.7
1.937337e-05,0.0006959057,0.0001215393,0.1230393,0.4552252,0.71
