gds,gm,id,vdsat,vth,v(g)
1.108994e-13,8.420525e-12,2.917503e-13,0.03696216,0.6465048,0
1.555057e-13,1.183996e-11,4.106225e-13,0.03689861,0.6450116,0.01
2.178802e-13,1.663367e-11,5.774386e-13,0.03683525,0.6435266,0.02
3.050907e-13,2.335272e-11,8.114983e-13,0.03677181,0.6420436,0.03
4.269418e-13,3.276318e-11,1.139664e-12,0.03670832,0.6405632,0.04
5.970709e-13,4.59327e-11,1.599418e-12,0.03664481,0.639086,0.05
8.344281e-13,6.434755e-11,2.243012e-12,0.03658129,0.6376123,0.06
1.165319e-12,9.007449e-11,3.143204e-12,0.03651779,0.636143,0.07
1.626222e-12,1.25984e-10,4.401195e-12,0.03645434,0.6346785,0.08
2.267661e-12,1.76058e-10,6.157585e-12,0.03639097,0.6332196,0.09
3.159539e-12,2.458124e-10,8.607465e-12,0.03632772,0.6317672,0.1
4.398436e-12,3.428772e-10,1.202118e-11,0.03626463,0.6303219,0.11
6.117614e-12,4.777902e-10,1.677281e-11,0.03620175,0.6288848,0.12
8.500683e-12,6.650812e-10,2.337922e-11,0.03613911,0.6274569,0.13
1.180022e-11,9.247476e-10,3.255339e-11,0.03607678,0.626039,0.14
1.636311e-11,1.284258e-09,4.527716e-11,0.03601481,0.6246324,0.15
2.266485e-11,1.781265e-09,6.290003e-11,0.03595327,0.6232383,0.16
3.135607e-11,2.467262e-09,8.727329e-11,0.03589224,0.6218578,0.17
4.332508e-11,3.412493e-09,1.20931e-10,0.0358318,0.6204924,0.18
5.9782e-11,4.712525e-09,1.673341e-10,0.03577204,0.6191433,0.19
8.237137e-11,6.496988e-09,2.311975e-10,0.03571308,0.6178119,0.2
1.133228e-10,8.941195e-09,3.189288e-10,0.03565503,0.6164997,0.21
1.556479e-10,1.228119e-08,4.39204e-10,0.03559805,0.6152084,0.22
2.134061e-10,1.683388e-08,6.03745e-10,0.03554232,0.6139394,0.23
2.920481e-10,2.302272e-08,8.283277e-10,0.03548806,0.6126943,0.24
3.988665e-10,3.141087e-08,1.134108e-09,0.03543551,0.6114746,0.25
5.435797e-10,4.27435e-08,1.549342e-09,0.03538502,0.6102818,0.26
7.390822e-10,5.800096e-08,2.111609e-09,0.03533698,0.6091176,0.27
1.002403e-09,7.846507e-08,2.870653e-09,0.03529189,0.6079832,0.28
1.355914e-09,1.058003e-07,3.891983e-09,0.03525042,0.6068802,0.29
1.82884e-09,1.421517e-07,5.261394e-09,0.03521337,0.6058097,0.3
2.459129e-09,1.902614e-07,7.090582e-09,0.03518178,0.6047731,0.31
3.295717e-09,2.536029e-07,9.524025e-09,0.03515696,0.6037713,0.32
4.401253e-09,3.365342e-07,1.274731e-08,0.03514059,0.6028052,0.33
5.855299e-09,4.444652e-07,1.699703e-08,0.03513476,0.6018756,0.34
7.758027e-09,5.84037e-07,2.25725e-08,0.03514209,0.6009831,0.35
1.023436e-08,7.63305e-07,2.984904e-08,0.03516584,0.6001279,0.36
1.343854e-08,9.919209e-07,3.929337e-08,0.03521001,0.59931,0.37
1.755889e-08,1.281299e-06,5.148036e-08,0.03527947,0.5985295,0.38
2.282268e-08,1.644765e-06,6.711152e-08,0.0353801,0.5977857,0.39
2.95007e-08,2.097677e-06,8.703465e-08,0.03551888,0.5970782,0.4
3.791142e-08,2.657526e-06,1.122648e-07,0.03570401,0.5964059,0.41
4.842409e-08,3.344012e-06,1.440059e-07,0.03594497,0.5957676,0.42
6.146063e-08,4.179112e-06,1.836739e-07,0.03625258,0.5951619,0.43
7.74959e-08,5.187163e-06,2.329198e-07,0.03663895,0.594587,0.44
9.705598e-08,6.394968e-06,2.936557e-07,0.03711745,0.5940407,0.45
1.207144e-07,7.83193e-06,3.680812e-07,0.03770258,0.5935206,0.46
1.490862e-07,9.530227e-06,4.587131e-07,0.0384098,0.5930241,0.47
1.828198e-07,1.152498e-05,5.684178e-07,0.03925526,0.592548,0.48
2.225876e-07,1.385438e-05,7.004466e-07,0.04025553,0.5920891,0.49
2.690736e-07,1.655967e-05,8.584724e-07,0.04142727,0.5916438,0.5
3.229618e-07,1.968497e-05,1.046629e-06,0.04278683,0.591208,0.51
3.849214e-07,2.327669e-05,1.269546e-06,0.04434989,0.5907777,0.52
4.555933e-07,2.738266e-05,1.532381e-06,0.04613104,0.5903482,0.53
5.355755e-07,3.205074e-05,1.840841e-06,0.04814336,0.5899148,0.54
6.254084e-07,3.732698e-05,2.201186e-06,0.05039805,0.5894726,0.55
7.255615e-07,4.325347e-05,2.620224e-06,0.05290407,0.5890165,0.56
8.364208e-07,4.98658e-05,3.105267e-06,0.05566779,0.5885412,0.57
9.582775e-07,5.719052e-05,3.66407e-06,0.05869274,0.5880414,0.58
1.091319e-06,6.524277e-05,4.304743e-06,0.06197943,0.5875119,0.59
1.235625e-06,7.402423e-05,5.035621e-06,0.06552521,0.5869476,0.6
1.391158e-06,8.352183e-05,5.865128e-06,0.0693243,0.5863438,0.61
1.557773e-06,9.370722e-05,6.801602e-06,0.07336788,0.5856961,0.62
1.735211e-06,0.0001045372,7.85312e-06,0.07764423,0.5850007,0.63
1.923113e-06,0.0001159552,9.027316e-06,0.08213909,0.5842546,0.64
2.121027e-06,0.0001278934,1.03312e-05,0.08683594,0.5834556,0.65
2.328424e-06,0.0001402758,1.177104e-05,0.09171665,0.582602,0.66
2.544688e-06,0.0001530202,1.335202e-05,0.09676121,0.5816948,0.67
2.769168e-06,0.0001660436,1.507844e-05,0.1019492,0.5807347,0.68
3.00117e-06,0.0001792635,1.69534e-05,0.1072596,0.5797242,0.69
3.239974e-06,0.0001926018,1.897884e-05,0.1126714,0.5786673,0.7
3.484853e-06,0.0002059859,2.115554e-05,0.118164,0.5775692,0.71
3.73508e-06,0.0002193512,2.348309e-05,0.1237176,0.5764363,0.72
3.989949e-06,0.0002326414,2.596001e-05,0.1293132,0.5752762,0.73
4.248779e-06,0.0002458094,2.858382e-05,0.1349333,0.5740976,0.74
4.510926e-06,0.0002588168,3.135118e-05,0.140562,0.5729098,0.75
4.775795e-06,0.0002716336,3.425799e-05,0.1461848,0.5717226,0.76
5.042839e-06,0.000284238,3.729964e-05,0.1517891,0.5705458,0.77
5.311573e-06,0.0002966146,4.047111e-05,0.1573639,0.5693891,0.78
5.581572e-06,0.0003087544,4.37672e-05,0.1629002,0.5682616,0.79
5.852473e-06,0.0003206533,4.718266e-05,0.1683905,0.5671715,0.8
6.123899e-06,0.0003323082,5.071113e-05,0.1738276,0.5661308,0.81
6.395705e-06,0.0003437265,5.434929e-05,0.1792092,0.5651393,0.82
6.667763e-06,0.0003549164,5.809365e-05,0.1845331,0.5641976,0.83
6.939862e-06,0.0003658821,6.193895e-05,0.1897963,0.5633134,0.84
7.21191e-06,0.0003766323,6.588161e-05,0.1949978,0.5624885,0.85
7.48386e-06,0.0003871766,6.991863e-05,0.2001378,0.5617227,0.86
7.755695e-06,0.0003975248,7.404753e-05,0.2052169,0.5610149,0.87
8.027423e-06,0.0004076867,7.826625e-05,0.2102362,0.5603629,0.88
8.299068e-06,0.0004176716,8.257311e-05,0.2151971,0.5597639,0.89
8.570667e-06,0.0004274885,8.696672e-05,0.2201014,0.5592147,0.9
8.842264e-06,0.0004371453,9.144596e-05,0.2249506,0.5587118,0.91
9.113905e-06,0.0004466495,9.600985e-05,0.2297464,0.5582516,0.92
9.385637e-06,0.0004560079,0.0001006576,0.2344907,0.5578308,0.93
9.657507e-06,0.0004652264,0.0001053883,0.2391848,0.5574459,0.94
9.929559e-06,0.0004743103,0.0001102015,0.2438305,0.5570939,0.95
1.020183e-05,0.0004832641,0.0001150963,0.2484291,0.5567718,0.96
1.047437e-05,0.0004920921,0.0001200721,0.2529819,0.5564771,0.97
1.074719e-05,0.0005007976,0.0001251282,0.2574902,0.5562074,0.98
1.102034e-05,0.0005093839,0.0001302639,0.2619551,0.5559605,0.99
1.129384e-05,0.0005178535,0.0001354785,0.2663778,0.5557347,1
1.156771e-05,0.0005262088,0.0001407712,0.2707592,0.5555283,1.01
1.184198e-05,0.0005344518,0.0001461413,0.2751003,0.5553397,1.02
1.211666e-05,0.0005425844,0.0001515879,0.279402,0.5551678,1.03
1.239177e-05,0.0005506079,0.0001571104,0.2836652,0.5550113,1.04
1.266733e-05,0.0005585238,0.0001627077,0.2878905,0.5548693,1.05
1.294334e-05,0.0005663334,0.0001683791,0.2920789,0.5547408,1.06
1.321983e-05,0.0005740376,0.0001741238,0.296231,0.554625,1.07
1.34968e-05,0.0005816374,0.0001799408,0.3003476,0.5545213,1.08
1.377425e-05,0.0005891338,0.0001858294,0.3044293,0.5544288,1.09
1.405221e-05,0.0005965275,0.0001917885,0.3084767,0.5543471,1.1
1.433067e-05,0.0006038193,0.0001978174,0.3124906,0.5542757,1.11
