gds,gm,id,vdsat,vth,v(g)
2.832609e-16,2.444517e-14,6.573694e-16,0.02868314,0.7027988,0
4.406566e-16,3.816102e-14,1.027207e-15,0.02863101,0.7012374,0.01
6.849657e-16,5.952167e-14,1.603752e-15,0.02857883,0.6996785,0.02
1.064117e-15,9.278019e-14,2.502336e-15,0.02852643,0.698117,0.03
1.652174e-15,1.445286e-13,3.901908e-15,0.0284738,0.696553,0.04
2.563677e-15,2.249913e-13,6.080318e-15,0.02842095,0.6949866,0.05
3.975633e-15,3.500134e-13,9.468645e-15,0.02836788,0.6934178,0.06
6.161394e-15,5.441323e-13,1.473519e-14,0.02831458,0.6918467,0.07
9.542779e-15,8.453139e-13,2.291518e-14,0.02826106,0.6902734,0.08
1.477022e-14,1.312253e-12,3.561094e-14,0.02820732,0.6886981,0.09
2.284586e-14,2.035608e-12,5.53004e-14,0.02815337,0.6871208,0.1
3.531245e-14,3.155284e-12,8.581219e-14,0.0280992,0.6855418,0.11
5.454295e-14,4.886967e-12,1.330565e-13,0.02804483,0.6839612,0.12
8.41839e-14,7.562842e-12,2.061478e-13,0.02799025,0.6823793,0.13
1.298337e-13,1.169396e-11,3.191279e-13,0.02793548,0.6807963,0.14
2.000784e-13,1.806563e-11,4.936068e-13,0.02788052,0.6792125,0.15
3.080722e-13,2.788318e-11,7.628031e-13,0.02782538,0.6776283,0.16
4.739446e-13,4.299407e-11,1.177719e-12,0.02777008,0.676044,0.17
7.284606e-13,6.6226e-11,1.816559e-12,0.02771463,0.6744601,0.18
1.118578e-12,1.019003e-10,2.799072e-12,0.02765905,0.6728769,0.19
1.715864e-12,1.566093e-10,4.308339e-12,0.02760334,0.6712952,0.2
2.629223e-12,2.403915e-10,6.623818e-12,0.02754755,0.6697154,0.21
4.024086e-12,3.685005e-10,1.01713e-11,0.02749168,0.6681382,0.22
6.151267e-12,5.640599e-10,1.559826e-11,0.02743578,0.6665643,0.23
9.390221e-12,8.620316e-10,2.388711e-11,0.02737987,0.6649946,0.24
1.431366e-11,1.315119e-09,3.652483e-11,0.02732399,0.6634298,0.25
2.178366e-11,2.002501e-09,5.575594e-11,0.0272682,0.661871,0.26
3.309398e-11,3.042666e-09,8.495807e-11,0.02721255,0.6603191,0.27
5.01796e-11,4.612145e-09,1.291963e-10,0.02715711,0.6587752,0.28
7.592332e-11,6.972586e-09,1.960363e-10,0.02710199,0.6572405,0.29
1.14601e-10,1.05095e-08,2.967282e-10,0.02704729,0.655716,0.3
1.725229e-10,1.578697e-08,4.479151e-10,0.02699317,0.6542032,0.31
2.589474e-10,2.362385e-08,6.740743e-10,0.02693986,0.6527031,0.32
3.873679e-10,3.519778e-08,1.010963e-09,0.02688762,0.6512172,0.33
5.773021e-10,5.218444e-08,1.51042e-09,0.02683687,0.6497466,0.34
8.567334e-10,7.693877e-08,2.246935e-09,0.02678815,0.6482927,0.35
1.265385e-09,1.127236e-07,3.326489e-09,0.0267422,0.6468567,0.36
1.859009e-09,1.639871e-07,4.898171e-09,0.02670008,0.6454396,0.37
2.714853e-09,2.366835e-07,7.169066e-09,0.0266632,0.6440425,0.38
3.938423e-09,3.386218e-07,1.042279e-08,0.02663349,0.6426662,0.39
5.671525e-09,4.798178e-07,1.504182e-08,0.02661352,0.6413115,0.4
8.101464e-09,6.728151e-07,2.153342e-08,0.02660666,0.6399788,0.41
1.147101e-08,9.329418e-07,3.055864e-08,0.02661731,0.6386683,0.42
1.608864e-08,1.278483e-06,4.296358e-08,0.02665099,0.6373799,0.43
2.233835e-08,1.730776e-06,5.981201e-08,0.0267146,0.6361133,0.44
3.068838e-08,2.314293e-06,8.241904e-08,0.02681653,0.6348676,0.45
4.169843e-08,3.056798e-06,1.123862e-07,0.0269668,0.6336416,0.46
5.602502e-08,3.989705e-06,1.516401e-07,0.02717714,0.6324338,0.47
7.44254e-08,5.148778e-06,2.024771e-07,0.02746106,0.6312419,0.48
9.776002e-08,6.575199e-06,2.6762e-07,0.02783386,0.6300634,0.49
1.269942e-07,8.317026e-06,3.502897e-07,0.02831267,0.6288951,0.5
1.631989e-07,1.04309e-05,4.542974e-07,0.02891643,0.6277331,0.51
2.075492e-07,1.298379e-05,5.8416e-07,0.02966582,0.6265728,0.52
2.613201e-07,1.605453e-05,7.452381e-07,0.03058312,0.625409,0.53
3.258768e-07,1.97347e-05,9.438949e-07,0.03169202,0.6242355,0.54
4.026569e-07,2.412861e-05,1.187671e-06,0.03301716,0.6230453,0.55
