gds,gm,id,vdsat,vth,v(g)
6.716796e-14,1.12164e-11,3.957127e-13,0.04384479,0.570228,0
9.528573e-14,1.589183e-11,5.615076e-13,0.0438117,0.5684125,0.01
1.350865e-13,2.250063e-11,7.962482e-13,0.04377817,0.5665906,0.02
1.91338e-13,3.182761e-11,1.128096e-12,0.04374432,0.5647694,0.03
2.707555e-13,4.497606e-11,1.596722e-12,0.04371016,0.5629494,0.04
3.827556e-13,6.349016e-11,2.257774e-12,0.04367571,0.5611314,0.05
5.407635e-13,8.956654e-11,3.190605e-12,0.04364071,0.5593028,0.06
7.628485e-13,1.26156e-10,4.502042e-12,0.04360569,0.55749,0.07
1.074894e-12,1.774751e-10,6.345151e-12,0.04357044,0.555682,0.08
1.512759e-12,2.493504e-10,8.93203e-12,0.04353497,0.5538792,0.09
2.126311e-12,3.498629e-10,1.255772e-11,0.04349932,0.5520826,0.1
2.984759e-12,4.901938e-10,1.763179e-11,0.04346352,0.5502928,0.11
4.183958e-12,6.857789e-10,2.472164e-11,0.04342761,0.548511,0.12
5.856375e-12,9.578721e-10,3.461159e-11,0.04339167,0.5467382,0.13
8.184633e-12,1.335659e-09,4.838322e-11,0.04335576,0.5449753,0.14
1.141987e-11,1.859094e-09,6.752432e-11,0.04331999,0.5432234,0.15
1.590648e-11,2.582705e-09,9.407584e-11,0.04328448,0.5414837,0.16
2.21154e-11,3.580638e-09,1.308295e-10,0.04324939,0.5397571,0.17
3.068853e-11,4.953344e-09,1.815923e-10,0.04321494,0.5380449,0.18
4.249836e-11,6.836421e-09,2.515412e-10,0.04318142,0.5363476,0.19
5.872437e-11,9.411779e-09,3.47679e-10,0.0431492,0.5346671,0.2
8.095756e-11,1.29227e-08,4.794588e-10,0.0431188,0.533004,0.21
1.11333e-10,1.769257e-08,6.595784e-10,0.04309086,0.5313594,0.22
1.527025e-10,2.41488e-08,9.050193e-10,0.04306626,0.5297343,0.23
2.088553e-10,3.285273e-08,1.238383e-09,0.04304616,0.5281294,0.24
2.847977e-10,4.453663e-08,1.689591e-09,0.04303207,0.5265457,0.25
3.871032e-10,6.014893e-08,2.298049e-09,0.04302597,0.5249838,0.26
5.243435e-10,8.09085e-08,3.115336e-09,0.04303043,0.5234445,0.27
7.076121e-10,1.08369e-07,4.208544e-09,0.04304878,0.5219283,0.28
9.511477e-10,1.444945e-07,5.664377e-09,0.04308525,0.5204357,0.29
1.273061e-09,1.917461e-07,7.594112e-09,0.04314526,0.5189671,0.3
1.69616e-09,2.531819e-07,1.013957e-08,0.0432356,0.5175227,0.31
2.248855e-09,3.325708e-07,1.34802e-08,0.0433647,0.5161027,0.32
2.966119e-09,4.345211e-07,1.78415e-08,0.04354293,0.5147073,0.33
