tau_s,GR07_dev_c,GR06_dev_c
1.5839,0.0801376,0.0547446
3.16779,0.0656581,0.0443711
4.75169,0.0600329,0.0425055
6.33558,0.0570727,0.0416117
7.91948,0.0569572,0.0398772
9.50338,0.0576719,0.0385
11.0873,0.0588712,0.037575
14.2551,0.0618003,0.0365712
17.4229,0.0650538,0.0360718
20.5906,0.0680283,0.0351171
25.3423,0.0720471,0.034491
31.6779,0.0762617,0.0345751
39.5974,0.0802685,0.0351734
49.1008,0.0841899,0.0351182
61.7719,0.0899279,0.0326169
76.027,0.0971766,0.0307074
95.0338,0.108537,0.0320448
117.208,0.120237,0.0369192
145.718,0.13077,0.0443146
180.564,0.136382,0.0517998
224.913,0.131845,0.0580746
