t_s,GR07_c,GR06_c
0.043,23.09,
0.875,23.112,23.093
1.113,23.137,22.968
1.232,23.051,23.132
1.827,23.146,22.92
1.946,23.092,23.092
2.542,23.055,23.022
2.66,23.075,22.999
2.78,23.06,23.039
2.898,23.106,23.19
3.494,23.097,23.127
3.612,23.075,22.994
3.85,23.106,23.008
4.327,23.142,22.879
6.673,23.113,23.056
6.792,23.082,23.059
7.625,23.132,23.042
8.101,23.123,23.01
8.339,23.092,23.011
8.577,23.178,23.075
8.815,23.13,22.936
9.053,23.161,23.072
9.172,23.222,22.945
9.291,23.18,22.988
9.529,23.108,23.075
9.767,23.096,23.044
10.005,23.046,23.03
10.243,23.098,23.051
10.481,23.09,22.988
10.719,23.285,23.142
10.957,23.213,23.079
11.076,23.22,23.114
11.195,23.148,23.09
11.433,23.236,23.133
12.98,23.167,23.027
13.099,23.126,23.017
13.337,23.385,23.258
13.575,23.516,23.533
13.813,23.571,23.661
14.051,23.63,23.78
14.289,23.665,24.031
14.527,23.697,24.143
14.765,23.712,24.448
15.003,23.727,24.659
15.241,23.736,24.592
15.479,23.717,24.516
16.074,23.692,24.082
17.026,23.628,23.77
19.595,23.313,23.356
19.714,23.325,23.343
19.833,23.316,23.264
19.952,23.295,23.238
20.071,23.269,23.307
20.19,23.306,23.234
20.428,23.254,23.418
20.666,23.286,23.151
20.904,23.289,23.202
21.023,23.268,23.272
21.142,23.305,23.146
21.38,23.346,23.14
21.618,23.383,23.294
22.094,23.28,23.202
23.046,23.342,23.261
24.117,23.279,23.251
25.905,23.286,23.217
26.024,23.282,23.236
26.143,23.244,23.313
26.262,23.255,23.235
26.5,23.306,23.277
26.738,23.352,23.242
26.976,23.315,23.283
27.214,23.225,23.354
27.452,23.264,23.35
27.69,23.289,23.156
27.928,23.278,23.284
30.07,23.3,23.195
32.52,23.29,23.297
32.639,23.329,23.296
33.115,23.299,23.284
34.067,23.241,23.223
35.019,23.707,24.212
36.09,23.858,25.416
36.209,23.884,25.405
36.447,24.013,25.665
36.685,24.089,25.868
36.923,24.141,25.853
37.042,24.183,25.827
37.161,24.207,25.75
37.399,24.228,25.799
38.817,23.772,25
39.055,23.755,25.091
40.007,23.729,24.606
40.959,23.716,24.535
41.078,23.715,24.464
41.197,23.716,24.341
41.435,23.716,24.323
41.673,23.708,24.41
41.911,23.709,24.284
42.03,23.711,24.289
42.149,23.711,24.058
42.387,23.709,24.321
42.625,23.712,24.4
42.863,23.705,24.36
43.101,23.706,24.331
43.339,23.702,24.335
43.577,23.699,24.214
45.152,23.682,24.089
45.271,23.678,24.083
46.104,23.672,24.01
47.056,23.653,24.103
48.008,23.618,23.928
49.079,23.655,23.73
50.031,23.537,23.729
51.753,23.475,23.624
52.11,23.463,23.781
53.062,23.447,23.612
54.014,23.456,23.375
55.085,23.444,23.521
56.037,23.4,23.371
58.05,23.37,23.407
58.169,23.423,23.4
59.002,23.574,23.77
60.073,23.647,23.744
61.025,23.643,23.809
62.096,23.679,24.191
