ref_c,GR07_0,GR07_1,GR07_2,GR06_0,GR06_1,GR06_2
4.9,1.2574,1.6519,0.5287,-1.9249,-1.3709,0.1691
10.1,0.8602,1.204,0,-1.3072,-0.8077,0
15.1,-0.0538,0.2468,-0.9974,-0.5772,-0.1315,0.064
20.1,-0.2499,0,-1.2571,-0.3971,0,-0.2587
24.9,-0,0.1966,-1.0331,-0,0.3483,-0.2651
29.8,1.1773,1.3096,0.1702,0.5568,0.8539,-0.0156
34.8,1.005,1.0864,0.0644,0.7054,0.9543,-0.0396
39.7,0.8352,0.8666,0,0.7958,0.9978,0
44.7,0.6224,0.6032,-0.0644,0.6765,0.8327,-0.0496
49.7,0.461,0.3907,-0.032,0.4474,0.5589,-0.0875
54.7,0.4131,0.2906,0.1654,0.292,0.358,0.0856
59.7,0.1728,0,0.2066,-0.0221,0,0.2289
64.7,-0.3414,-0.5616,0,-0.7918,-0.8094,0
69.4,-1.9589,-2.2116,-1.3818,-1.1352,-1.1937,0.3515
