set_c,ref_c,GR07_rate_hz,GR07_sigma_hz,GR06_rate_hz,GR06_sigma_hz,GR07_clock_cycles,GR07_dist_to_whole_cycle
5,4.9,850106,159.597,131242,52.704,75.2847,0.2847
10,10.1,864724,22.12,134007,54.4728,74.012,0.012
15,15.1,877160,52.3921,136730,55.7836,72.9627,0.0373
20,20.1,891782,158.033,139192,57.3061,71.7665,0.2335
25,24.9,907151,185.96,141663,58.6104,70.5505,0.4495
30,29.8,925648,116.429,144256,57.9721,69.1407,0.1407
35,34.8,940342,67.8834,146703,59.1224,68.0603,0.0603
40,39.7,954739,46.0071,149075,59.8006,67.034,0.034
45,44.7,969309,38.9929,151395,59.4838,66.0264,0.0264
50,49.7,984036,50.9518,153663,59.6128,65.0383,0.0383
55,54.7,999109,66.9065,155965,59.4125,64.0571,0.0571
60,59.7,1.0136e+06,114.64,158192,59.1567,63.1416,0.1416
65,64.7,1.02725e+06,163.536,160203,53.5559,62.3024,0.3024
70,69.4,1.03663e+06,148.66,162274,53.9762,61.7385,0.2615
