t_min,GR07_c,GR06_c
0.0263,22.9708,23.0345
0.0789,22.9918,23.0803
0.1317,22.9806,22.9234
0.1846,23.0605,23.1015
0.2372,22.9856,23
0.2899,22.5802,23.0466
0.3426,22.9879,23.0955
0.3954,22.9467,22.9461
0.4482,22.9582,23.0563
0.5011,23.0426,23.0436
0.5539,23.0043,23.1071
0.6066,22.9812,23.0955
0.6594,22.9897,23.0421
0.7121,22.9637,22.9857
0.7648,23.0698,23.0911
0.8178,23.0086,23.2529
0.8706,23.0902,23.2874
0.9236,22.9475,22.9204
0.9764,23.1357,22.9801
1.0289,23.0361,23.0794
1.0817,23.0941,23.0303
1.1343,22.9672,23.0114
1.1871,23.235,23.0254
1.2396,23.0187,22.9838
1.2925,23.0546,22.9941
1.3452,23.0224,22.8935
1.3981,23.2537,22.9464
1.4507,22.9527,22.9832
1.5034,22.9604,22.9194
1.5561,23.0492,22.8668
1.609,22.9532,22.9249
1.6617,22.9771,22.9013
1.7146,23.0209,22.9241
1.7673,22.9942,22.9423
1.8201,22.9148,23.0186
1.8728,22.9344,23.0237
1.9257,22.9637,22.8857
1.9785,22.9252,23.0269
2.0313,22.8995,23.0164
2.0841,22.9935,23.1175
2.1368,22.9606,23.0868
2.1895,23.0106,23.0534
2.2423,22.9649,22.9707
2.2952,22.9522,22.9673
2.3479,22.9578,23.1054
2.4006,22.916,22.9785
2.4531,23.2183,22.9218
2.5059,22.9248,23.109
2.5588,22.9471,23.024
2.6117,22.9804,23.0721
2.6644,23.0891,23.0333
2.7172,23.0679,23.0869
2.77,23.3847,23.1744
2.8227,22.9821,23.0998
2.8755,22.9542,22.9908
2.9282,23.2884,22.9019
2.981,22.9906,23.0008
3.0339,22.9736,22.9993
3.0866,22.9774,22.9673
3.1392,22.9204,22.9722
3.1919,23.1393,22.9594
3.2447,23.014,23.021
3.2974,22.9426,22.9987
3.3502,22.8786,22.9847
3.403,22.9915,23.0099
3.4559,23.0402,22.9645
3.5087,22.9877,23.0216
3.5614,22.9882,22.9736
3.6142,22.9573,22.9762
3.6668,22.966,22.9372
3.7196,22.8675,23.0164
3.7723,22.9985,22.9518
3.8249,22.9704,22.986
3.8776,22.9498,23.0127
3.9303,23.0459,22.9315
3.9829,23.3262,22.9312
4.0357,23.3143,22.8982
4.0883,23.4196,23.0075
4.1409,23.3274,22.945
4.1936,23.6213,23.0041
4.2463,23.6129,23.1338
4.2989,23.3057,23.0583
4.3516,23.2828,23.0649
4.4043,23.3721,22.9831
4.4569,23.1691,22.9975
4.5096,23.4636,22.9668
4.5622,23.333,23.0783
4.6149,23.2491,23.0825
4.6675,23.3287,22.993
4.7202,23.248,22.9995
4.7729,23.319,22.9998
4.8255,23.3172,23.0556
4.8782,23.2613,23.0525
4.9308,23.4812,22.9742
4.9835,23.2374,23.0023
5.0361,23.1947,23.0196
5.0889,23.2825,22.9692
5.1416,23.2876,22.9364
5.1943,23.2453,23.0241
5.2469,23.3113,23.0362
5.2996,23.279,22.873
5.3522,23.1629,22.9884
5.405,23.3095,22.922
5.4577,23.2714,23.065
5.5103,23.1513,23.0764
5.5629,23.3209,22.9708
5.6155,23.3306,22.9511
5.6682,23.2216,22.9956
5.7208,23.2671,23.0705
5.7735,23.1175,23.1727
5.8261,23.2917,23.063
5.8788,23.2034,22.9637
5.9315,23.3083,22.9133
5.9841,23.3042,22.983
6.0366,23.3709,22.9166
6.0892,23.2771,23.0138
6.1419,23.4011,23.0624
6.1946,23.3228,22.8881
6.2472,23.3744,22.9739
6.2998,23.3548,23.0934
6.3523,23.3939,23.1917
6.4049,23.4574,22.8795
6.4574,23.3525,22.8643
6.5102,23.3605,22.978
6.5628,23.3779,22.954
6.6154,23.3508,22.9606
6.6679,23.3582,22.8829
6.7207,23.2759,22.9714
6.7735,22.909,22.8346
6.8261,22.9829,23.0734
6.879,22.9753,23.0984
6.9319,22.957,23.0649
6.9846,22.8782,22.9883
7.0375,22.8635,22.9953
7.0904,22.8769,23.0852
7.1431,22.9098,23.0372
7.1959,22.9636,23.0824
7.2489,22.8997,23.0667
7.3018,23.1104,23.1845
7.3547,22.9431,23.0903
7.4076,23.0772,23.2096
7.4604,23.0319,23.1244
7.5132,22.9836,23.1281
7.5661,22.9079,23.2025
7.619,22.8803,23.1633
7.6718,22.9248,23.0664
7.7244,22.9636,22.9661
7.7773,22.931,22.8784
7.8302,22.9584,23.0149
7.883,22.8981,23.003
7.9356,22.9764,23.0402
7.9885,22.9663,22.9698
8.0413,22.9018,22.9862
8.0942,22.8791,23.0636
8.1471,22.9775,23.0169
8.2,22.993,22.9265
8.2529,22.8764,22.9751
8.3058,22.8659,22.9416
8.3587,22.8737,22.9782
8.4115,22.9017,22.9462
8.4644,22.903,22.9781
8.5173,22.9609,22.9809
8.5701,22.8399,23.014
8.6229,22.8483,22.9818
8.6757,22.9556,23.0389
8.7285,22.921,23.1218
8.7814,22.9701,22.997
8.8343,22.8935,22.9382
8.8872,22.9496,22.9642
8.9401,22.9091,22.9592
8.9931,22.8551,22.934
9.0461,23.0129,23.0144
9.099,22.9925,23.0158
9.1519,22.7941,23.0937
9.2047,22.8764,23.0157
9.2576,22.7769,23.025
9.3104,22.7211,22.9595
9.3633,22.8817,22.9064
9.4162,22.825,23.0515
9.4692,22.8303,23.0053
9.5221,23.0774,22.9964
9.575,22.8368,22.9872
9.6279,22.8824,23.0481
9.6809,22.9586,22.9679
9.7337,22.9179,22.9926
9.7865,22.9473,23.0477
9.8396,22.9365,23.0108
9.8924,22.9155,23.0534
9.9453,22.8952,23.0318
9.9981,22.9765,22.9896
10.0511,22.8874,22.929
10.1039,23.241,22.9955
10.1568,23.215,22.9799
10.2097,22.9674,22.8384
10.2624,23.1912,22.7959
10.3153,22.9354,22.8441
10.3682,22.98,22.9028
10.4211,22.8572,23.0049
10.4739,22.8461,22.9553
10.5268,22.839,22.8263
10.5793,22.7266,22.9053
10.6323,22.8829,22.9728
10.6851,22.7048,22.9066
10.738,22.8159,22.9281
10.7908,22.776,22.8509
10.8438,22.8101,22.9356
10.8967,22.6967,22.8055
10.9496,22.8464,22.7664
11.0024,22.8279,22.7661
11.0552,22.8578,22.8316
11.1082,22.8442,22.9758
11.1611,22.7405,22.8862
11.214,22.9622,22.9159
11.2669,22.9201,22.9077
11.3198,22.717,22.9132
11.3727,22.8447,22.8458
11.4256,22.8138,22.8654
11.4786,22.7619,22.7828
11.5315,22.8744,22.7975
11.5841,22.8271,22.8616
11.637,22.7272,22.895
11.6898,22.8182,22.961
11.7427,22.7691,22.8882
11.7955,22.7823,22.841
11.8482,22.8931,22.8449
11.9012,22.7421,22.9033
11.9539,22.9066,22.8253
12.0068,22.9207,22.8104
12.0595,23.0348,22.9067
12.1124,23.1056,22.8636
12.1653,22.9447,22.8781
12.2183,23.03,22.8619
12.2712,23.0706,22.9639
12.3241,22.9364,23.0708
12.3771,23.0532,22.8499
12.4299,22.9968,22.8458
12.4826,23.0736,22.8835
12.5355,23.0816,22.8813
12.5884,23.0417,22.8849
12.6412,23.0692,22.8281
12.6941,22.9511,22.8055
12.7471,23.0061,22.7985
12.8,23.032,22.9169
12.8529,22.946,22.8731
12.9059,22.9611,22.8571
12.9588,22.8975,22.7814
13.0116,23.129,22.8133
13.0643,23.335,22.8301
13.1172,23.1879,22.7971
13.1702,22.8159,22.8417
13.2231,22.9093,22.8655
13.2761,22.9844,22.7972
13.3289,22.989,22.8097
13.3818,23.0368,22.8334
13.4346,22.914,22.8162
13.4875,23.0347,22.7997
13.5403,22.9886,22.8318
13.5932,22.9584,22.8879
13.6461,23.2738,22.7809
13.6991,23.1908,22.7981
13.752,23.0284,22.8021
13.8046,23.0089,22.7985
13.8575,22.9912,22.7313
13.9104,22.9915,22.8055
13.9631,22.937,22.9029
14.016,23.2248,22.8833
14.069,22.9502,22.8212
14.1219,23.1326,22.8018
14.1747,22.8648,22.8057
14.2275,22.9735,22.6568
14.2803,22.8967,22.8348
14.3332,22.9889,22.7531
14.3862,23.3659,22.798
14.4391,23.0622,22.8741
14.4919,22.9473,22.7437
14.5449,23.0421,22.8421
14.5977,23.1093,22.7778
14.6505,23.1174,22.8195
14.7033,22.9742,22.865
14.7562,23.0081,22.8597
14.8091,23.1524,22.8769
14.8621,23.0732,22.8314
14.9149,23.0783,22.799
14.9679,23.019,22.7778
15.0206,23.0616,22.8944
