t_s,dev_mk
0,-47.4
0.09,-395.4
0.2,-453.8
0.29,-379.5
0.39,-220.7
0.48,12.5
0.57,72.9
0.68,129.8
0.76,145.5
0.85,248.2
0.94,249.6
1.03,221.5
1.13,178.7
1.22,236
1.33,324.4
1.44,311.2
1.53,295.7
1.61,283.5
1.7,268.1
1.79,284.3
1.88,198.3
1.99,169.1
2.08,155.2
2.17,184.2
2.26,258.8
2.36,303.2
2.45,303.2
2.54,377.2
2.63,335
2.72,276.7
2.82,220
2.91,219.4
2.99,309
3.1,453.9
3.18,440.5
3.27,309.2
3.37,208.4
3.46,209.2
3.55,269.4
3.64,356.3
3.73,283.8
3.82,256.1
3.9,300.8
4,242.6
4.1,301.3
4.19,287.3
4.28,216.3
4.37,259.2
4.47,202
4.56,232.4
4.65,233.2
4.76,220.3
4.85,265.2
4.94,162.3
5.03,46.7
5.14,-25.4
5.23,20
5.31,49.6
5.41,6.6
5.5,-107.6
5.59,-339.9
5.68,-440.3
5.77,-454.2
5.87,-454.2
5.96,-452.9
6.05,-408.4
6.14,-493.9
6.23,-263.3
6.34,-87.5
6.43,74.3
6.53,14.8
6.62,74.9
6.73,74.3
6.82,133.5
6.91,135.3
7,93.6
7.09,34.9
7.19,-36.9
7.28,-6.6
7.37,9.8
7.48,37.9
7.57,10.7
7.67,-4.5
7.76,10.7
7.86,40.9
7.95,56.7
8.04,56.8
8.13,-0.4
8.23,30.1
8.32,32.1
8.43,-41.6
8.52,33.6
8.62,32.5
8.72,35.4
8.81,93.7
8.9,35.4
9,37.5
9.11,67.4
9.2,81.3
9.29,98.4
9.38,26.4
9.47,11.8
9.56,11.9
9.65,12.5
9.78,30.3
9.87,30.6
9.96,29.5
10.05,-26.5
10.14,18.7
10.23,48.1
10.33,135
10.42,166.5
10.52,194.6
10.62,180.5
10.72,96.5
10.81,38.1
10.9,37.6
10.99,-4.6
11.09,69.2
11.18,-1.5
11.27,57.2
11.36,-15
11.46,-44.4
11.55,-57.8
11.64,46.1
11.73,60.8
11.84,62.8
11.93,62.8
12.04,50.7
12.13,8.1
12.24,-23
12.33,-50.3
12.44,23.7
12.54,83
12.63,41.3
12.72,27.9
12.81,-31.5
12.91,-190.8
13,-232.7
13.09,-188.7
13.2,-172.8
13.29,-113.9
13.39,-40.2
13.48,-38.8
13.58,-37.5
13.67,34.5
13.77,-37.5
13.86,-65.1
13.95,-62.8
14.04,-17.8
14.15,83.6
14.24,56.4
14.34,56.4
14.44,43.3
14.55,115.5
14.64,17.1
14.74,-39.8
14.83,-69.6
14.93,-55.2
15.02,-39.8
15.12,-65.6
15.21,-67.1
15.3,-65.7
15.39,-78.6
15.48,-6.2
15.58,81.8
15.67,12.2
15.76,56.9
15.85,-29.9
15.94,-100.7
16.05,-72.7
16.14,30.2
16.23,46.5
16.32,33.7
16.42,-97.1
16.51,-110.4
16.61,-79.7
16.73,-80.2
16.81,-78.5
16.9,-78.5
17.01,-78.5
17.13,-119.1
17.23,-134
17.32,-147.2
17.41,-101.5
17.5,-129
17.61,-98.6
17.7,-70.8
17.8,-70.4
17.9,-82.5
18,-67.5
18.09,-66
18.19,-124.5
18.28,-151.9
18.37,-164
18.46,-118.3
18.55,-76.8
18.67,-74.8
18.77,-74.8
18.86,-43.9
18.98,-84.4
19.07,-68.7
19.18,-27.3
19.27,33.2
19.36,5.3
19.45,-7.9
19.54,-37.3
19.63,-7.9
19.73,-35.9
19.83,-91.1
19.93,-119
20.02,-104.7
20.11,-43.9
20.21,27.1
20.3,-56.5
20.39,-56.5
20.49,-97.9
20.58,-97.9
20.69,-97.9
20.78,-82.7
20.87,-22.6
20.97,-79.6
21.06,-79.6
21.15,-75.7
21.24,-106
21.34,-117.5
21.43,-146.5
21.52,-202.4
21.62,-145
21.71,-70.2
21.81,3.9
21.9,45.3
21.99,49.4
22.08,49.4
22.18,106.5
22.27,51.7
22.36,8
22.46,-3.8
22.56,-78
22.65,-106
22.75,-131.4
22.85,-161.4
22.95,-505.8
23.04,-563.6
23.13,-574.9
23.24,-591.5
23.35,-588.1
23.44,-588.1
23.53,-557
23.62,-613.5
23.71,-599.8
23.8,-599.8
23.89,-668.7
23.99,-668.7
24.1,-651.9
24.19,-479.3
24.29,-40.8
24.38,17.1
24.47,1.5
24.56,-38
24.65,18.3
24.75,19.1
24.85,-79.4
24.94,-106.7
25.04,-106.7
25.14,-92
25.23,-31.4
25.32,-16.5
25.41,13.7
25.51,13.7
25.61,1.1
25.7,1.1
25.81,2.5
25.9,-7.5
26.03,-20.4
26.12,-23.5
26.24,-7.3
26.34,-33.6
26.44,-88.8
26.54,42.8
26.63,-42.6
26.72,-42.3
26.81,-101
26.9,-260.1
27,-460.6
27.09,-502.6
27.2,-473.9
27.29,-527.7
27.38,-598.5
27.49,-554.8
27.59,-352.6
27.68,-132.5
27.79,-132.5
27.89,-478
27.98,-577.5
28.07,-604.9
28.16,-577.5
28.29,-559
28.4,-546.2
28.49,-542.4
28.6,-500.3
28.69,-481.9
28.78,-451.8
28.87,-408.5
28.96,-307.6
29.05,-378.3
29.15,-432.1
29.24,-475.4
29.33,-461.6
29.43,-458.9
29.52,-458.8
29.61,-398.2
29.71,-383
29.8,-398.2
29.89,-425.5
29.98,-438.3
30.08,-438.7
30.18,-349.8
30.27,116.2
30.36,246.3
30.47,205
30.57,163.3
30.66,150.8
30.75,138.3
30.85,153.8
30.94,138.3
31.03,153.3
31.12,125.2
31.22,97.1
31.32,57.9
31.41,57.9
31.5,56.9
31.61,60.2
31.71,60.2
31.82,49.7
31.91,77.2
32,106.7
32.09,108
32.21,95.7
32.3,82.2
32.42,85.5
32.52,115.1
32.61,103.1
32.7,44.3
32.79,1.3
32.91,49
33.01,-9.4
33.1,-238.1
33.19,-311.8
33.3,-379.8
33.39,-379.6
33.48,-393.7
33.57,-393.7
33.66,-390.6
33.75,-390.6
33.85,-259.5
33.94,162.5
34.03,278.9
34.13,294.2
34.22,183.2
34.32,239.6
34.42,169.8
34.51,127.8
34.6,126.7
34.71,130.7
34.82,159.9
34.94,144.8
35.03,135.2
35.14,135.1
35.23,108.5
35.32,108.1
35.41,95.4
35.5,95.4
35.6,142.4
35.69,169.2
35.78,188.1
35.88,215.7
35.98,161.3
36.1,102.5
36.19,104.5
36.29,134.3
36.39,281.2
36.48,296
36.57,225.2
36.66,226
36.78,244.1
36.87,319.4
36.96,361.5
37.04,336
37.15,336
37.26,308.5
37.35,341.3
37.44,341.3
37.54,283.5
37.63,200
37.72,140.6
37.84,56.7
37.93,83.8
38.06,133.3
38.15,204.7
38.25,221.2
38.35,252.6
38.46,266
38.55,281.5
38.65,299.8
38.74,241.3
38.83,274.4
38.92,201.2
39.01,187.5
39.11,277.3
39.21,235.4
39.3,206.2
39.4,165.2
39.5,122.4
39.59,122.3
39.68,94.9
39.78,154.4
39.89,257.7
39.99,303.6
40.08,160.4
40.19,117.8
40.29,104.1
40.39,46.5
40.48,-153
40.57,-280.6
40.68,-351.8
40.79,-295.8
40.88,-320.2
40.99,-304.3
41.1,-244
41.19,-271.5
41.28,-244
41.4,-269.9
41.49,-325.2
41.59,-325.4
41.68,-380.5
41.78,-366.1
41.89,-221.2
41.98,101.1
42.07,143.8
42.16,174.4
42.25,246.4
42.35,294.7
