t_s,GR07_c,GR06_c
0.024,21.754,
0.176,21.602,
0.203,,22.396
0.33,21.559,
0.343,,22.267
0.481,,22.339
0.482,21.639,
0.621,,22.54
0.635,21.709,
0.759,,22.461
0.788,21.622,
0.898,,22.392
0.942,21.575,
1.038,,22.51
1.095,21.517,
1.177,,22.564
1.248,21.554,
1.315,,22.517
1.401,21.43,
1.454,,22.597
1.554,21.645,
1.593,,22.469
1.706,21.676,
1.732,,22.468
1.859,21.562,
1.871,,22.416
2.01,,22.468
2.013,21.444,
2.15,,22.49
2.166,21.629,
2.288,,22.358
2.318,21.611,
2.428,,22.383
2.471,21.776,
2.567,,22.395
2.624,21.575,
2.705,,22.426
2.777,21.483,
2.845,,22.373
2.93,21.579,
2.983,,22.388
3.083,21.57,
3.123,,22.415
3.236,21.582,
3.261,,22.443
3.389,21.634,
3.401,,22.331
3.539,,22.399
3.542,21.657,
3.679,,22.436
3.696,21.525,
3.817,,22.309
3.849,21.674,
4.002,21.599,
5.802,21.731,
5.955,21.644,
5.964,,22.163
6.103,,22.292
6.108,21.659,
6.242,,22.307
6.261,21.597,
6.381,,22.172
6.414,21.537,
6.52,,22.152
6.567,21.56,
6.659,,22.322
6.72,21.531,
6.798,,22.228
6.873,21.659,
6.937,,22.169
7.026,21.587,
7.076,,22.234
7.179,21.578,
7.215,,22.209
7.332,21.718,
7.354,,22.24
7.485,21.555,
7.493,,22.216
7.632,,22.421
7.638,21.516,
7.771,,22.415
7.791,21.578,
7.91,,22.286
7.944,21.624,
8.049,,22.391
8.097,21.583,
8.188,,22.425
8.25,21.58,
8.327,,22.263
8.403,21.6,
8.466,,22.242
8.556,21.73,
8.605,,22.346
8.709,21.79,
8.744,,22.427
8.862,21.684,
8.883,,22.297
9.015,21.634,
9.022,,22.262
9.161,,22.295
9.168,21.633,
9.3,,22.387
9.321,21.54,
9.439,,22.408
9.474,21.544,
9.627,21.627,
11.04,21.557,
11.193,21.664,
11.198,,22.361
11.337,,22.338
11.346,21.555,
11.476,,22.234
11.499,21.517,
11.615,,22.225
11.652,21.44,
11.754,,22.235
11.805,21.729,
11.893,,22.161
11.958,21.678,
12.032,,22.252
12.111,21.597,
12.171,,22.269
12.264,21.711,
12.31,,22.305
12.417,21.755,
12.449,,22.239
12.57,21.789,
12.588,,22.227
12.723,21.706,
12.727,,22.254
12.866,,22.13
12.876,21.356,
13.005,,21.414
13.029,20.056,
13.144,,20
13.182,19.702,
13.283,,17.581
13.335,16.076,
13.422,,15.656
13.488,15.515,
13.561,,13.638
13.641,11.905,
13.7,,10.982
13.794,10.431,
13.839,,9.354
13.947,8.703,
13.978,,8.646
14.1,8.347,
14.117,,8.344
14.253,8.226,
14.256,,8.115
14.395,,8.071
14.406,8.209,
14.534,,8.151
14.559,8.174,
14.673,,8.282
14.712,8.436,
14.812,,8.288
14.865,8.302,
16.501,10.418,
16.654,11.032,
16.794,,10.226
16.807,11.33,
16.933,,10.366
16.96,11.697,
17.072,,10.508
17.113,11.786,
17.211,,10.845
17.266,11.83,
17.35,,11.021
17.419,11.851,
17.489,,11.179
17.572,11.87,
17.628,,11.429
17.725,11.873,
17.767,,11.72
17.878,11.922,
17.906,,11.852
18.031,11.988,
18.045,,12.012
18.184,12.046,12.275
18.323,,12.287
18.337,12.084,
18.462,,12.369
18.49,12.15,
18.601,,12.415
18.643,12.364,
18.74,,12.437
18.796,12.407,
18.879,,12.609
18.949,12.582,
19.018,,12.649
19.102,12.763,
19.157,,12.617
19.255,12.641,
19.296,,12.79
19.408,12.629,
19.435,,12.943
19.561,12.822,
19.574,,12.978
19.713,,13.163
19.714,12.86,
19.852,,13.323
19.867,13.057,
19.991,,13.343
20.02,13.052,
20.13,,13.249
20.173,13.374,
20.269,,13.265
20.326,13.182,
20.479,13.365,
21.872,13.874,
22.008,,13.543
22.025,13.926,
22.147,,13.711
22.178,13.729,
22.286,,13.857
22.331,14.131,
22.425,,13.758
22.484,14.156,
22.564,,13.806
22.637,14.198,
22.703,,13.764
