series,x,y
80 kS/s,0.4,6.747
80 kS/s,0.456,7.312
80 kS/s,0.53,7.52
80 kS/s,0.6,7.564
80 kS/s,0.7,7.802
80 kS/s,0.8,7.951
80 kS/s,0.9,7.916
80 kS/s,1.0,8.031
80 kS/s,1.1,8.032
2 MS/s,0.4451,7.35
2 MS/s,0.4665,7.469
2 MS/s,0.4692,7.464
2 MS/s,0.5019,7.549
2 MS/s,0.5457,7.607
2 MS/s,0.6,7.707
2 MS/s,0.7,7.828
2 MS/s,0.8,8.0
2 MS/s,0.889,8.057
2 MS/s,1.0,8.116
2 MS/s,1.1,8.131
20 MS/s,0.71,7.8
20 MS/s,0.85,7.989
20 MS/s,0.9,8.006
20 MS/s,0.95,7.996
20 MS/s,1.05,8.142
20 MS/s,1.1,8.157
80 MS/s,1.08,8.007
