corner,vrosc,freq
KffTh,1.1,3.388453e+08
KffTh,1.2,4.486001e+08
KffTh,1.3,5.594268e+08
KffTh,1.4,6.688431e+08
KffTh,1.5,7.750478e+08
KffTl,1.1,1.195573e+08
KffTl,1.2,2.425314e+08
KffTl,1.3,3.833336e+08
KffTl,1.4,5.306591e+08
KffTl,1.5,6.784514e+08
KffTt,1.1,2.190439e+08
KffTt,1.2,3.405419e+08
KffTt,1.3,4.687477e+08
KffTt,1.4,5.986078e+08
KffTt,1.5,7.267257e+08
KssTh,1.1,1.069417e+08
KssTh,1.2,1.682931e+08
KssTh,1.3,2.359458e+08
KssTh,1.4,3.074738e+08
KssTh,1.5,3.811927e+08
KssTl,1.2,4.060074e+07
KssTl,1.3,1.063861e+08
KssTl,1.4,1.920065e+08
KssTl,1.5,2.889263e+08
KssTt,1.1,3.943479e+07
KssTt,1.2,9.457615e+07
KssTt,1.3,1.657368e+08
KssTt,1.4,2.462229e+08
KssTt,1.5,3.322063e+08
KttTh,1.1,2.007521e+08
KttTh,1.2,2.864215e+08
KttTh,1.3,3.766738e+08
KttTh,1.4,4.688479e+08
KttTh,1.5,5.612671e+08
KttTl,1.1,3.743028e+07
KttTl,1.2,1.129404e+08
KttTl,1.3,2.165293e+08
KttTl,1.4,3.344742e+08
KttTl,1.5,4.590451e+08
KttTt,1.1,1.038812e+08
KttTt,1.2,1.916582e+08
KttTt,1.3,2.9178e+08
KttTt,1.4,3.981903e+08
KttTt,1.5,5.072504e+08
