AIM-Spice Version 2017.100  (Built on Apr 12 2017)
Simulation started on Mon Aug 30 23:19:11 2021
Circuit: * Testbench to show IV curves for an NMOS
Analysis: DC Transfer Curves
vdrain,i(vcur)
0.00000000000000e+00,3.59029807921863e-11
1.00000000000000e-02,1.68358106408302e-06
2.00000000000000e-02,3.23456255457039e-06
3.00000000000000e-02,4.65435854542270e-06
4.00000000000000e-02,5.94456352724502e-06
5.00000000000000e-02,7.10706041268911e-06
6.00000000000000e-02,8.14413408950479e-06
7.00000000000000e-02,9.05863795925677e-06
8.00000000000000e-02,9.85422486627136e-06
9.00000000000000e-02,1.05356444618125e-05
1.00000000000000e-01,1.11090820524199e-05
1.10000000000000e-01,1.15824628901567e-05
1.20000000000000e-01,1.19655819933683e-05
1.30000000000000e-01,1.22698916680335e-05
1.40000000000000e-01,1.25078586659973e-05
1.50000000000000e-01,1.26920005486601e-05
1.60000000000000e-01,1.28338992564990e-05
1.70000000000000e-01,1.29435010282145e-05
1.80000000000000e-01,1.30288374742237e-05
1.90000000000000e-01,1.30961026769631e-05
2.00000000000000e-01,1.31499288629388e-05
2.10000000000000e-01,1.31937192877143e-05
2.20000000000000e-01,1.32299552995689e-05
2.30000000000000e-01,1.32604455152422e-05
2.40000000000000e-01,1.32865143685283e-05
2.50000000000000e-01,1.33091393676528e-05
2.60000000000000e-01,1.33290490268461e-05
2.70000000000000e-01,1.33467921486477e-05
2.80000000000000e-01,1.33627867823787e-05
2.90000000000000e-01,1.33773549428199e-05
3.00000000000000e-01,1.33907473897338e-05
3.10000000000000e-01,1.34031614591429e-05
3.20000000000000e-01,1.34147540132336e-05
3.30000000000000e-01,1.34256509367965e-05
3.40000000000000e-01,1.34359541701558e-05
3.50000000000000e-01,1.34457469689573e-05
3.60000000000000e-01,1.34550978758262e-05
3.70000000000000e-01,1.34640637474391e-05
3.80000000000000e-01,1.34726920824836e-05
3.90000000000000e-01,1.34810228274604e-05
4.00000000000000e-01,1.34890897890403e-05
4.10000000000000e-01,1.34969217474191e-05
4.20000000000000e-01,1.35045433405728e-05
4.30000000000000e-01,1.35119757715829e-05
4.40000000000000e-01,1.35192373782891e-05
4.50000000000000e-01,1.35263440950377e-05
4.60000000000000e-01,1.35333098292738e-05
4.70000000000000e-01,1.35401467704833e-05
4.80000000000000e-01,1.35468656450544e-05
4.90000000000000e-01,1.35534759276422e-05
5.00000000000000e-01,1.35599860173506e-05
5.10000000000000e-01,1.35664033852970e-05
5.20000000000000e-01,1.35727346987798e-05
5.30000000000000e-01,1.35789859262164e-05
5.40000000000000e-01,1.35851624262058e-05
5.50000000000000e-01,1.35912690234199e-05
5.60000000000000e-01,1.35973100735216e-05
5.70000000000000e-01,1.36032895189005e-05
5.80000000000000e-01,1.36092109366946e-05
5.90000000000000e-01,1.36150775803055e-05
6.00000000000000e-01,1.36208924154055e-05
6.10000000000000e-01,1.36266581512653e-05
6.20000000000000e-01,1.36323772680912e-05
6.30000000000000e-01,1.36380520409500e-05
6.40000000000000e-01,1.36436845607649e-05
6.50000000000000e-01,1.36492767527904e-05
6.60000000000000e-01,1.36548303929108e-05
6.70000000000000e-01,1.36603471220543e-05
6.80000000000000e-01,1.36658284589706e-05
6.90000000000000e-01,1.36712758115850e-05
7.00000000000000e-01,1.36766904871086e-05
7.10000000000000e-01,1.36820737010616e-05
7.20000000000000e-01,1.36874265853428e-05
7.30000000000000e-01,1.36927501954600e-05
7.40000000000000e-01,1.36980455170225e-05
7.50000000000000e-01,1.37033134715807e-05
7.60000000000000e-01,1.37085549218894e-05
7.70000000000000e-01,1.37137706766588e-05
7.80000000000000e-01,1.37189614948512e-05
7.90000000000000e-01,1.37241280895741e-05
8.00000000000000e-01,1.37292711316109e-05
8.10000000000000e-01,1.37343912526320e-05
8.20000000000001e-01,1.37394890481152e-05
8.30000000000001e-01,1.37445650800099e-05
8.40000000000001e-01,1.37496198791685e-05
8.50000000000001e-01,1.37546539475694e-05
8.60000000000001e-01,1.37596677603535e-05
8.70000000000001e-01,1.37646617676901e-05
8.80000000000001e-01,1.37696363964911e-05
8.90000000000001e-01,1.37745920519873e-05
9.00000000000001e-01,1.37795291191789e-05
9.10000000000001e-01,1.37844479641737e-05
9.20000000000001e-01,1.37893489354223e-05
9.30000000000001e-01,1.37942323648594e-05
9.40000000000001e-01,1.37990985689614e-05
9.50000000000001e-01,1.38039478497255e-05
9.60000000000001e-01,1.38087804955788e-05
9.70000000000001e-01,1.38135967822237e-05
9.80000000000001e-01,1.38183969734241e-05
9.90000000000001e-01,1.38231813217371e-05
1.00000000000000e+00,1.38279500691976e-05
1.01000000000000e+00,1.38327034479556e-05
1.02000000000000e+00,1.38374416808740e-05
1.03000000000000e+00,1.38421649820879e-05
1.04000000000000e+00,1.38468735575284e-05
1.05000000000000e+00,1.38515676054152e-05
1.06000000000000e+00,1.38562473167200e-05
1.07000000000000e+00,1.38609128756014e-05
1.08000000000000e+00,1.38655644598161e-05
1.09000000000000e+00,1.38702022411057e-05
1.10000000000000e+00,1.38748263855634e-05
1.11000000000000e+00,1.38794370539795e-05
1.12000000000000e+00,1.38840344021693e-05
1.13000000000000e+00,1.38886185812839e-05
1.14000000000000e+00,1.38931897381047e-05
1.15000000000000e+00,1.38977480153231e-05
1.16000000000000e+00,1.39022935518074e-05
1.17000000000000e+00,1.39068264828555e-05
1.18000000000000e+00,1.39113469404360e-05
1.19000000000000e+00,1.39158550534188e-05
1.20000000000000e+00,1.39203509477942e-05
1.21000000000000e+00,1.39248347468823e-05
1.22000000000000e+00,1.39293065715335e-05
1.23000000000000e+00,1.39337665403197e-05
1.24000000000000e+00,1.39382147697172e-05
