AIM-Spice Version 2017.100  (Built on Apr 12 2017)
Simulation started on Wed Sep  1 18:35:53 2021
Circuit: * Testbench to show IV curves for an NMOS
Analysis: DC Transfer Curves
vgaini,i(vcur),v(a)
0.00000000000000e+00,1.62397582306252e-08,1.34188799370266e+01
1.00000000000000e-02,2.13470486340007e-08,1.34154963214383e+01
2.00000000000000e-02,2.80295024971637e-08,1.34116810052304e+01
3.00000000000000e-02,3.67581284494164e-08,1.34073900673483e+01
4.00000000000000e-02,4.81379557068362e-08,1.34025786300084e+01
5.00000000000000e-02,6.29431653635219e-08,1.33972021044002e+01
6.00000000000000e-02,8.21601931108582e-08,1.33912178844246e+01
7.00000000000000e-02,1.07040149759221e-07,1.33845875588306e+01
8.00000000000000e-02,1.39161985361694e-07,1.33772796921660e+01
9.00000000000000e-02,1.80507870605090e-07,1.33692731834246e+01
1.00000000000000e-01,2.33552285909972e-07,1.33605611395083e+01
1.10000000000000e-01,3.01366302282343e-07,1.33511550900637e+01
1.20000000000000e-01,3.87738522052840e-07,1.33410892153898e+01
1.30000000000000e-01,4.97314133336117e-07,1.33304240624661e+01
1.40000000000000e-01,6.35753509310149e-07,1.33192490034763e+01
1.50000000000000e-01,8.09911690099744e-07,1.33076824875423e+01
1.60000000000000e-01,1.02803976601059e-06,1.32958690196934e+01
1.70000000000000e-01,1.30000834814743e-06,1.32839718670757e+01
1.80000000000000e-01,1.63755152865194e-06,1.32721608427873e+01
1.90000000000000e-01,2.05452644967113e-06,1.32605952186275e+01
2.00000000000000e-01,2.56717828590665e-06,1.32494028419155e+01
2.10000000000000e-01,3.19439281762917e-06,1.32386577056400e+01
2.20000000000000e-01,3.95790911137827e-06,1.32283592227586e+01
2.30000000000000e-01,4.88245429601105e-06,1.32184168895237e+01
2.40000000000000e-01,5.99575323646632e-06,1.32086435818375e+01
2.50000000000000e-01,7.32836119321955e-06,1.31987593697380e+01
2.60000000000000e-01,8.91327077255291e-06,1.31884057660896e+01
2.70000000000000e-01,1.07852584068284e-05,1.31771683206435e+01
2.80000000000000e-01,1.29799611392739e-05,1.31646040353411e+01
2.90000000000000e-01,1.55327095840819e-05,1.31502695877985e+01
3.00000000000000e-01,1.84771823105230e-05,1.31337468184620e+01
3.10000000000000e-01,2.18439828094251e-05,1.31146630581717e+01
3.20000000000000e-01,2.56592642710459e-05,1.30927052067141e+01
3.30000000000000e-01,2.99434712271546e-05,1.30658473685396e+01
3.40000000000000e-01,3.47082952035507e-05,1.30286492951413e+01
3.50000000000000e-01,3.99587519518964e-05,1.29881371122245e+01
3.60000000000000e-01,4.56935597237081e-05,1.29442816744534e+01
3.70000000000000e-01,5.19045910669307e-05,1.28971114863712e+01
3.80000000000000e-01,5.85775402779458e-05,1.28467051614043e+01
3.90000000000000e-01,6.56928405974558e-05,1.27931836356028e+01
4.00000000000000e-01,7.32267317983731e-05,1.27367025119646e+01
4.10000000000000e-01,8.11523813565743e-05,1.26774447620384e+01
4.20000000000000e-01,8.94409759560764e-05,1.26156139160597e+01
4.30000000000000e-01,9.80627200228738e-05,1.25514278166430e+01
4.40000000000000e-01,1.06987699885341e-04,1.24851129794276e+01
4.50000000000000e-01,1.16186592608950e-04,1.24168995855945e+01
4.60000000000000e-01,1.25631215437977e-04,1.23470171182767e+01
4.70000000000000e-01,1.35294924205492e-04,1.22756906434564e+01
4.80000000000000e-01,1.45152877078939e-04,1.22031377243899e+01
4.90000000000000e-01,1.55182184197642e-04,1.21295659468277e+01
5.00000000000000e-01,1.65361964995074e-04,1.20551710209830e+01
5.10000000000000e-01,1.75673334178634e-04,1.19801354161875e+01
5.20000000000000e-01,1.86099335256758e-04,1.19046274762049e+01
5.30000000000000e-01,1.96624837783983e-04,1.18288009576976e+01
5.40000000000000e-01,2.07236411591819e-04,1.17527949315111e+01
5.50000000000000e-01,2.17922188482716e-04,1.16767339861353e+01
5.60000000000000e-01,2.28671719356893e-04,1.16007286746064e+01
5.70000000000000e-01,2.39475832596949e-04,1.15248761497917e+01
5.80000000000000e-01,2.50326497771139e-04,1.14492609379698e+01
5.90000000000000e-01,2.61216697313142e-04,1.13739558064038e+01
6.00000000000000e-01,2.72140307754291e-04,1.12990226867884e+01
6.10000000000000e-01,2.83091991274995e-04,1.12245136226651e+01
6.20000000000000e-01,2.94067097756523e-04,1.11504717148738e+01
6.30000000000000e-01,3.05061577106574e-04,1.10769320446503e+01
6.40000000000000e-01,3.16071901362300e-04,1.10039225589449e+01
6.50000000000000e-01,3.27094995908864e-04,1.09314649068849e+01
6.60000000000000e-01,3.38128179063008e-04,1.08595752199922e+01
6.70000000000000e-01,3.49169109237507e-04,1.07882648318295e+01
6.80000000000000e-01,3.60215738907105e-04,1.07175409352200e+01
6.90000000000000e-01,3.71266274626648e-04,1.06474071771269e+01
7.00000000000000e-01,3.82319142398089e-04,1.05778641927496e+01
7.10000000000000e-01,3.93372957737934e-04,1.05089100814729e+01
7.20000000000000e-01,4.04426499855547e-04,1.04405408280424e+01
7.30000000000000e-01,4.15478689412081e-04,1.03727506728137e+01
7.40000000000000e-01,4.26528569387384e-04,1.03055324351708e+01
7.50000000000000e-01,4.37575288636698e-04,1.02388777942985e+01
7.60000000000000e-01,4.48618087769250e-04,1.01727775314422e+01
7.70000000000000e-01,4.59656287026865e-04,1.01072217376596e+01
7.80000000000000e-01,4.70689275882096e-04,1.00421999908582e+01
7.90000000000000e-01,4.81716504112356e-04,9.97770150567325e+00
8.00000000000000e-01,4.92737474139337e-04,9.91371525946874e+00
8.10000000000000e-01,5.03751734451776e-04,9.85023009746388e+00
8.20000000000001e-01,5.14758873955016e-04,9.78723481970720e+00
8.30000000000001e-01,5.25758517112715e-04,9.72471825234659e+00
8.40000000000001e-01,5.36750319765306e-04,9.66266930538177e+00
8.50000000000001e-01,5.47733965526315e-04,9.60107701884048e+00
8.60000000000001e-01,5.58709162671989e-04,9.53993059909142e+00
8.70000000000001e-01,5.69675641451988e-04,9.47921944679817e+00
8.80000000000001e-01,5.80633151759498e-04,9.41893317782842e+00
8.90000000000001e-01,5.91581461108213e-04,9.35906163826131e+00
9.00000000000001e-01,6.02520352871402e-04,9.29959491448236e+00
9.10000000000001e-01,6.13449624744940e-04,9.24052333921932e+00
9.20000000000001e-01,6.24369087401862e-04,9.18183749425090e+00
9.30000000000001e-01,6.35278563310843e-04,9.12352821041456e+00
9.40000000000001e-01,6.46177885695151e-04,9.06558656544586e+00
9.50000000000001e-01,6.57066897612115e-04,9.00800388010106e+00
9.60000000000001e-01,6.67945451136157e-04,8.95077171294320e+00
9.70000000000001e-01,6.78813406630974e-04,8.89388185411166e+00
9.80000000000001e-01,6.89670632098611e-04,8.83732631834153e+00
9.90000000000001e-01,7.00517002595005e-04,8.78109733745421e+00
1.00000000000000e+00,7.11352399703130e-04,8.72518735250194e+00
1.01000000000000e+00,7.22176711056181e-04,8.66958900571533e+00
1.02000000000000e+00,7.32989829904387e-04,8.61429513237535e+00
1.03000000000000e+00,7.43791654719934e-04,8.55929875270711e+00
1.04000000000000e+00,7.54582088835343e-04,8.50459306387254e+00
1.05000000000000e+00,7.65361040111259e-04,8.45017143212271e+00
1.06000000000000e+00,7.76128420630255e-04,8.39602738515583e+00
1.07000000000000e+00,7.86884146413684e-04,8.34215460471560e+00
1.08000000000000e+00,7.97628137159046e-04,8.28854691945496e+00
1.09000000000000e+00,8.08360315995695e-04,8.23519829808203e+00
1.10000000000000e+00,8.19080609256990e-04,8.18210284279868e+00
1.11000000000000e+00,8.29788946267258e-04,8.12925478303729e+00
1.12000000000000e+00,8.40485259142143e-04,8.07664846949623e+00
1.13000000000000e+00,8.51169482601100e-04,8.02427836847223e+00
1.14000000000000e+00,8.61841553790931e-04,7.97213905648454e+00
1.15000000000000e+00,8.72501412119445e-04,7.92022521518416e+00
1.16000000000000e+00,8.83148999098326e-04,7.86853162653987e+00
1.17000000000000e+00,8.93784258194546e-04,7.81705316829165e+00
1.18000000000000e+00,9.04407134689562e-04,7.76578480966181e+00
1.19000000000000e+00,9.15017575545775e-04,7.71472160731302e+00
1.20000000000000e+00,9.25615529279664e-04,7.66385870154299e+00
1.21000000000000e+00,9.36200945841118e-04,7.61319131270513e+00
1.22000000000000e+00,9.46773776498541e-04,7.56271473784464e+00
1.23000000000000e+00,9.57333973729303e-04,7.51242434754001e+00
1.24000000000000e+00,9.67881491115187e-04,7.46231558293994e+00
1.25000000000000e+00,9.78416283242467e-04,7.41238395298640e+00
1.26000000000000e+00,9.88938305606348e-04,7.36262503181449e+00
1.27000000000000e+00,9.99447514519419e-04,7.31303445632100e+00
1.28000000000000e+00,1.00994386702391e-03,7.26360792389322e+00
1.29000000000000e+00,1.02042732080745e-03,7.21434119029072e+00
