AIM-Spice Version 2016.100  (Built on Nov  5 2016)
Simulation started on Fri Apr  5 15:01:01 2024
Circuit: * Testbench to show IV curves for an NMOS
Analysis: DC Transfer Curves
vgate,i(vcur)
0.00000000000000e+00,2.11470931208455e-10
1.00000000000000e-02,2.79337711154996e-10
2.00000000000000e-02,3.68812887159493e-10
3.00000000000000e-02,4.86690136547081e-10
4.00000000000000e-02,6.41856388801566e-10
5.00000000000000e-02,8.45916259886405e-10
6.00000000000000e-02,1.11399295882455e-09
7.00000000000000e-02,1.46575120067396e-09
8.00000000000000e-02,1.92669745375525e-09
9.00000000000000e-02,2.52982405456968e-09
1.00000000000000e-01,3.31767624340153e-09
1.10000000000000e-01,4.34493486614122e-09
1.20000000000000e-01,5.68162217372472e-09
1.30000000000000e-01,7.41705369179265e-09
1.40000000000000e-01,9.66467558685616e-09
1.50000000000000e-01,1.25679448108786e-08
1.60000000000000e-01,1.63074297932287e-08
1.70000000000000e-01,2.11093348508128e-08
1.80000000000000e-01,2.72556853142875e-08
1.90000000000000e-01,3.50964571372505e-08
2.00000000000000e-01,4.50639990196973e-08
2.10000000000000e-01,5.76901793226815e-08
2.20000000000000e-01,7.36267912022997e-08
2.30000000000000e-01,9.36698540713684e-08
2.40000000000000e-01,1.18788528900992e-07
2.50000000000000e-01,1.50159371037195e-07
2.60000000000000e-01,1.89206510307534e-07
2.70000000000000e-01,2.37647995772036e-07
2.80000000000000e-01,2.97547897612566e-07
2.90000000000000e-01,3.71372776853336e-07
3.00000000000000e-01,4.62049829707686e-07
3.10000000000000e-01,5.73022489160769e-07
3.20000000000000e-01,7.08297725952606e-07
3.30000000000000e-01,8.72475567787614e-07
3.40000000000000e-01,1.07066420083522e-06
3.50000000000000e-01,1.30853816013703e-06
3.60000000000000e-01,1.59230464998072e-06
3.70000000000000e-01,1.92857282203667e-06
3.80000000000000e-01,2.32421907737812e-06
3.90000000000000e-01,2.78622182936142e-06
4.00000000000000e-01,3.32147548697800e-06
4.10000000000000e-01,3.93659641153985e-06
4.20000000000000e-01,4.63773501576032e-06
4.30000000000000e-01,5.43040773317942e-06
4.40000000000000e-01,6.31936037722475e-06
4.50000000000000e-01,7.30847086268819e-06
4.60000000000000e-01,8.40069502819499e-06
4.70000000000000e-01,9.59805508117110e-06
4.80000000000000e-01,1.09016665886313e-05
4.90000000000000e-01,1.23117973507956e-05
5.00000000000000e-01,1.38279500691976e-05
5.10000000000000e-01,1.54489603900830e-05
5.20000000000000e-01,1.71731024527669e-05
5.30000000000000e-01,1.89981952169877e-05
5.40000000000000e-01,2.09217042973990e-05
5.50000000000000e-01,2.29408355559260e-05
5.60000000000000e-01,2.50526181189646e-05
5.70000000000000e-01,2.72539756906264e-05
5.80000000000000e-01,2.95417859790543e-05
5.90000000000000e-01,3.19129287378837e-05
6.00000000000000e-01,3.43643233748402e-05
6.10000000000000e-01,3.68929573343219e-05
