paper	lecture	line	section	text	url	existing_key
ieee:1050758	l00_diode.md	499	Doping	diffusion	https://ieeexplore.ieee.org/document/1050758	
ieee:1477063	l00_need_to_know.md	186	Simulate PN Junctions	https://ieeexplore.ieee.org/document/1477063	https://ieeexplore.ieee.org/document/1477063	
ieee:1597006	l00_need_to_know.md	215	Current Mirrors	"High speed, high gain OTA in a digital 90nm CMOS technology" Berntsen, Wulff, Ytterdal, Norchip 2005	https://ieeexplore.ieee.org/document/1597006	
ieee:7906479	l00_need_to_know.md	606	There are other types of logic	A Compiled 9-bit 20-MS/s 3.5-fJ/conv.step SAR ADC in 28-nm FDSOI for Bluetooth Low Energy Receivers	https://ieeexplore.ieee.org/document/7906479	wulff17
ieee:7906479	l05_sc.md	1151	Switches	JSSC SAR	https://ieeexplore.ieee.org/document/7906479	wulff17
ieee:7906479	l05_sc.md	1218	Want to learn more?	A Compiled 9-bit 20-MS/s 3.5-fJ/conv.step SAR ADC in 28-nm FDSOI for Bluetooth Low Energy Receivers	https://ieeexplore.ieee.org/document/7906479	wulff17
ieee:7906479	l06_adc.md	125	What makes a state-of-the-art ADC	A Compiled 9-bit 20-MS/s 3.5-fJ/conv.step SAR ADC in 28-nm FDSOI for Bluetooth Low Energy Receivers	https://ieeexplore.ieee.org/document/7906479	wulff17
ieee:7906479	l10_lpradio.md	929	ADC	A Compiled 9-bit 20-MS/s 3.5-fJ/conv.step SAR ADC in 28-nm FDSOI for Bluetooth Low Energy Receivers	https://ieeexplore.ieee.org/document/7906479	wulff17
ieee:7906479	l10_lpradio.md	1071	Want to learn more?	A Compiled 9-bit 20-MS/s 3.5-fJ/conv.step SAR ADC in 28-nm FDSOI for Bluetooth Low Energy Recievers	https://ieeexplore.ieee.org/document/7906479	wulff17
ieee:7906479	l12_chinf.md	71	[A Compiled 9-bit 20-MS/s 3.5-fJ/conv.step SAR ADC in 28-nm FDSOI for Bluetooth Low Energy Receivers](https://ieeexplore.ieee.org/document/7906479)	A Compiled 9-bit 20-MS/s 3.5-fJ/conv.step SAR ADC in 28-nm FDSOI for Bluetooth Low Energy Receivers	https://ieeexplore.ieee.org/document/7906479	wulff17
ieee:7906479	lp_radio_guest.md	621	Want to learn more?	A Compiled 9-bit 20-MS/s 3.5-fJ/conv.step SAR ADC in 28-nm FDSOI for Bluetooth Low Energy Recievers	https://ieeexplore.ieee.org/document/7906479	wulff17
ieee:7906479	lr0_logic.md	400	There are other types of logic	A Compiled 9-bit 20-MS/s 3.5-fJ/conv.step SAR ADC in 28-nm FDSOI for Bluetooth Low Energy Receivers	https://ieeexplore.ieee.org/document/7906479	wulff17
ieee:1083221	l00_sv.md	170	Transient analog simulation	Gear	https://ieeexplore.ieee.org/document/1083221	
ieee:1083221	l11_aver.md	328	Transient analog simulation	Gear	https://ieeexplore.ieee.org/document/1083221	
ieee:9383810	l02_esd.md	63	What blocks must our IC include?	A BJT-based CMOS Temperature Sensor with Duty-cycle-modulated Output and ±0.54 °C (3-sigma) Inaccuracy from -40 °C to 125 °C	https://ieeexplore.ieee.org/stamp/stamp.jsp?tp=&arnumber=9383810	
ieee:5299049	l02_esd.md	597	The grounded gate NMOS	New Ballasting Layout Schemes to Improve ESD Robustness of I/O Buffers in Fully Silicided CMOS Process	https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=5299049	
ieee:5299049	l02_esd.md	608	The grounded gate NMOS	New Ballasting Layout Schemes to Improve ESD Robustness of I/O Buffers in Fully Silicided CMOS Process	https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=5299049	
ieee:4016442	l02_esd.md	821	Want to learn more?	ESD (Electrostatic Discharge) Protection Design for Nanoelectronics in CMOS Technology	https://ieeexplore.ieee.org/document/4016442	
ieee:9998049	l02_esd.md	823	Want to learn more?	Overview on Latch-Up Prevention in CMOS Integrated Circuits by Circuit Solutions	https://ieeexplore.ieee.org/document/9998049	
ieee:5688227	l02_esd.md	825	Want to learn more?	Overview on ESD Protection Designs of Low-Parasitic Capacitance for RF ICs in CMOS Technologies	https://ieeexplore.ieee.org/document/5688227	
ieee:1050151	l03_refbias.md	359	Widlar reference	New developments in IC voltage regulators	https://ieeexplore.ieee.org/document/1050151	
